category,detail,id,img_path,img_url,like_num,name,price,sub_category,tag,tag_url
送给谁,女士手表、手链、手镯三件套套装，腕间的爱情，趁现在，表达爱一步到位。,good_7234,,http://img.cocodiy.com/Images/7300/7234s.jpg,51,手镯手链手表三件套,248.00,恋人师友,女友,http://www.cocodiy.com/topic/45
送礼目的,对于女人来说，燕窝是一定少不了的哦，延缓衰老、美容养颜都是它的功效，老人食用可增强体质，蓝色包装礼盒大气送人十分合适，纯天然且零脂肪，健康无负担哦。,good_8357,,http://img.cocodiy.com/Images/8400/8357s.jpg,5,冰糖燕窝礼盒,268.00,庆生贺寿,怀孕,http://www.cocodiy.com/topic/16
送礼目的,一款属于妈妈和宝宝的吊坠哦，妈妈宝贝一起戴，满满的都是爱哦，以迷你的蝴蝶结为设计理念，打造属于宝宝的可爱蝴蝶结，甜甜的十分可爱，材质安全健康，自用、送人都十分可爱哦。,good_7765,,http://img.cocodiy.com/Images/7800/7765s.jpg,4,蝴蝶结甜心宝宝吊坠,138.00,庆生贺寿,满月,http://www.cocodiy.com/topic/18
送礼目的,每个小宝宝都会有的玩具是手摇铃，这款木质手摇铃取材于天然，声音都是大自然的声音，温和不刺耳，上色采用德国安全漆，精美的设计与包装，宝宝一定喜欢哦，送人也是十分得体的礼物。,good_7728,,http://img.cocodiy.com/Images/7800/7728s.jpg,2,幼儿木质手摇铃玩具,39.80,庆生贺寿,生子,http://www.cocodiy.com/topic/17
送礼目的,优质巧克力制成，中间更有夹心层，不甜不腻，支持同城配送，生日、聚会、节日祝福均可适用。,good_4019,,http://img.cocodiy.com/Images/4100/4019s.jpg,65,21cake巧克力慕斯蛋糕,198.00,庆生贺寿,生日礼物,http://www.cocodiy.com/topic/1
送给谁,造型逼真且立体感十足的城堡模型，每一个细节都极其精致，可以当做家居摆件摆放在客厅或者是卧室，很适合作为礼物送给朋友或者是家人。,good_7102,,http://img.cocodiy.com/Images/7200/7102s.jpg,11,3D城堡立体拼图,46.99,其他人,同学,http://www.cocodiy.com/topic/70
送给谁,高档活性炭工艺制成，手绘梅兰竹淡雅无染，无论作为办公用品还是桌面摆件都独一无二、气质出众，送老师、送领导都非常适合。,good_5605,,http://img.cocodiy.com/Images/5700/5605s.jpg,86,活性炭高档笔筒摆件 工艺笔筒,198.00,其他人,老师,http://www.cocodiy.com/topic/69
送给谁,或许每个男生都有一个英雄梦吧，无论是钢铁侠，还是美国队长，有一种执念一直在带领着自己前进，漫威主题的蓝牙耳机，男生一定无法抗拒哦。,good_7437,,http://img.cocodiy.com/Images/7500/7437s.jpg,19,mr.leaf漫威蓝牙耳机,399.00,其他人,大学生,http://www.cocodiy.com/topic/72
送给谁,最适合学生党和上班族的泡面碗，日本动漫和风图案，让你在饥饿时食欲大增，还送汤勺和筷子喔。,good_6055,,http://img.cocodiy.com/Images/6100/6055s.jpg,21,西行寺幽幽子和风泡面碗,89.00,其他人,学生,http://www.cocodiy.com/topic/71
送给谁,穿着日本和服的兔子，软萌可爱，寓意出入保平安，内置音乐盒，天空之城、千与千寻等曲目可选。,good_7329,,http://img.cocodiy.com/Images/7400/7329s.jpg,3,日本和风兔八音盒,78.00,其他人,高中生,http://www.cocodiy.com/topic/73
